2:21	ムームー	#楠潰す
2:22	Takebon[たけぼん]	さぁ、どれくらいかかるのかな？
2:23	黄月英	1800
2:23	ごはん	頑張って〜
2:23	716enate	どんどん落ちてったら永遠配信？？
2:23	はーべすと	こんばんは
2:23	_ MAKA	了解です
2:23	ぶたどん	明日が休みでよかったわお前
2:24	お前ら_	こめんとちっちゃいｗｗ
2:24	もみじか	特上なら簡単だけど上卓だと面倒くさいやつ
2:24	ザッハトルテ。	はーい
2:25	繝壹ち繝壹ち繧キ繝輔ヨ	しんどかったら止めるんやで
2:25	帰宅RTA	流石に終わるでしょ
2:25	いいさん	すぐ終わる～
2:26	木村亮太	#楠潰す ってつぶやきたいです！！！
2:26	Na i	がんばれ～ 勉強させてもらいます！
2:26	順平	めっちゃ運よければ今日中
2:26	メイダイン	#楠潰す タグの出番だぁ！！！
2:27	ShingoMk-Ⅱ	はーい
2:28	クーゲルシュライバー	こんばんは 桜座戦から天鳳遊び初めて昨日1800いきました～
2:28	TX11 D11	こんばんは～
2:28	たい焼き袋詰	がんばってー！
2:28	なーく#Nark	見れるとこまで見るよ！
2:29	げるまにうむ。	50
2:30	アメペリック	50時間耐久ですか？ｗ
2:31	元気だしてこ	東風？
2:31	kotodama1987	いつの間にか栞桜ちゃんのレート超えてたｗｗｗ
2:31	しばわん	こんばんは！
2:32	ギンジ	がんばえー
2:32	mischa's Lab.	俺は朝まで付き合う覚悟ができたぜ
2:32	琵琶丸	連続トップ祈願！
2:33	ひっきー	耐久配信始まった・・・？
2:34	ばたぁ	耐久頑張って
2:34	茶とら	400戦越えてるからなかなか上がらない
2:34	太陽の塔	お願いします。
2:35	木村亮太	じゃーん！
2:35	ns zn	はえーよｗｗｗ
2:35	グリヴェン	がんばれー！
2:37	嘘800	ガンバです！
2:37	唐揚げ大好き	ＢＧＭ大きい
2:38	ドラムドラム	１０連勝くらい必要かな
2:38	Nikki	レートってどういう風に上下するの？
2:38	くらつ	ほぼ徹夜になりそうｗ
2:38	あのんまのん	草
2:39	LOG	ラス連打するとしんどくなるね
2:39	高速フーリエ変換	やるぞー
2:39	初音ミクオ	こんばんは
2:39	れめれめ	がんはって！
2:40	ネムレス	栞桜ちゃんがんばれーー
2:40	omi	ちょっとBGM大きいかも
2:41	Jジェイ	現在:R1749
2:41	チーズ美味しい	bgm
2:41	孤高の探索者	無理はしないでね
2:42	ぐりむ	がんばれ～
2:42	友利匡志	頑張ってね！
2:42	がぶりちゅう_	一回でレートどのぐらいあがるの？
2:45	Nights -O	がんばえー
2:45	月十字	同卓しないようにじゃんたま打ってる
2:45	しらかば犬	ちょっとBGMでかい気がする
2:46	アメペリック	楠101号ｗ
2:46	叫び	＃楠潰す も活用していけ～
2:47	レッドウッドへいぽう	罰ゲーム考えてるか？
2:47	古鉄	時の運もあるからねぇ
2:49	popongo	がんばれ～！
2:51	アリス・バレンタイン	すぐだね
2:51	Kiichang	若干BGMでかいかもです…！
2:51	ユーミン	うんうん
2:51	杏	栞桜さんの予想到達時間は？
2:51	つくだ煮	1,2,3,4 6,2,-2,-6
2:52	らどりみ	1800から1700まで落ちてしまった…がんばってー！
2:52	ヤン3928	草
