1:57	友利匡志	こんばんは
1:58	パイライトテディ	NAGAさんでわらった
1:58	童子切やすつな	参戦中です
1:58	やまぶどう	あ、観戦か。
1:58	ぶたどん	そんなアピールしても食レポ案件はこないぞ
1:58	レモンP	こんばんわ～🌸
1:59	猫神楽	消された俺ら
2:00	mo's!	ナーガ本物か
2:00	みのる	食レポしていいよ
2:02	レイザーRR	そうかＡＩいるんだった
2:03	T M	こんばんは
2:04	lae	消えたあああああ
2:05	玄米茶	こんばんはー
2:07	鷹綾	こんばんは
2:09	桜色の図書館	こんばんは
2:09	伊奈ぴょん	もう悔しいから栞桜さん１位取ってよｗｗｗ
2:11	トキサメ	あぁAIか！
2:14	レプタイル	こんばんはー
2:15	Akiteru Fjimoto	こんばんは〜
2:17	kao v	なんていうアイス食べてるの？
2:17	しゅー	こんばんわー
2:18	陽炎	やってるよー
2:18	琵琶丸	ナーガさんと打ちました！ＡＩさんダブロン喰らってうち一人は倍満でした
2:19	缶こーひー	例のAIの
2:21	レッドウッドへいぽう	NAGAさんだ
2:21	ns zn	金で買った本戦出場
2:21	みずき	こんばんはー
2:21	文伽	裏口参加
2:23	FUJI-KEN POWER V	麻雀AIやっぱり強いの？
2:23	お前ら_	何味アイス？
2:24	si n	消されたか…
2:26	nとし	こんばんわ
2:26	Nao02	世の中やっぱり金なんだ
2:26	ケムリン	よろしくです
2:26	銀河美少年	参加したよー
2:29	揚げ出し豆腐	こんばんは🌸
2:29	いざよいさくや	へー
2:30	03cco【〇〇っこ】#NCB桜座戦2位	参戦しながた見てます
2:30	燻しTak庵	おぉAIなのか
2:32	芝村	アイス何味～？
2:34	バンキッシャーVIII	こんばんはこんばんはこんばんはこんばんは
2:36	ミポポ	何のアイス食べてんの～？
2:36	馬野郎	こんばんわ🌸
2:36	マイケル	栞桜ちゃんホンモノ？
2:38	lae	なんて？
2:38	らにふ	こんばんは🌸
2:39	木一	もぐもぐかわいい
2:40	あのにます	金よ金
2:40	リベア	こんばんはー
2:41	オボン	美味しいよね
2:41	もるぽん	こんばんはー
