1:52	明智光秀	お裁きの時間でござる	￥200
1:52	ぐぅたら	こんばんはー🌸
1:52	桜花		￥1,140
1:52	HAYASHI TTT	こんばんは🌸
1:52	ミキSS	こんばんはー	￥500
1:53	みりんかな	うおー！
1:53	山本零-4	草
1:53	darumaf1	開廷！
1:53	らにふ	こんばんは🌸
1:54	山下	奴はとんでもないものを盗んでいきました、それは貴方のハートです！！
1:54	細谷尚之	白鳥裁判
1:54	白くま	傍聴席ｗｗｗ
1:55	北綾瀬	白鳥プロすき
1:55	らうめん	被告が真ん中で草
1:55	もやしもの	んっ翔んっ翔
1:55	グッチー	こんばんは
1:55	おーしお	草
1:56	ザナルカンドエイブスのエース	草
1:58	かいじゅうゃ	こんばんはー
1:58	らいむ	すでに草
1:58	くろしば	開廷！開廷！
1:59	yuutan	翔ちゃん、末長くお幸せに
1:59	いいさん	白鳥プロおめでとうございます	￥500
1:59	あぴと	草
1:59	もちまる	こんばんはー！有罪😠
1:59	ちゃんちゃんしおしお	草
2:00	Akiteru Fjimoto	白鳥裁判ほんと草
2:00	愛じゃよハリー	草
2:00	雨の宿り木	こんばんはー
2:00	鳥烏[とりからす]	こんばんはー🌸
2:00	とろろ	警察官ｗ
2:01	アイリス	白鳥プロ服ダボダボで草 リラックススタイル
2:01	K泉ペンキ	草
2:01	皇	📸📸📸📸📸📸📸📸📸📸	￥1,000
2:01	21	草
2:01	pldra プレドラ	検察官魚谷ｗ
2:01	すりみん	草
2:01	ありにゃ	こんばんわー
2:01	鰯水八幡宮	もしかしてそこにおかぴーおるんか！？
2:01	gaty fs	おねがいします！
2:02	司令_つかされい	検察官
2:02	カレーうどん	こんばんは
2:02	首都ブラジリア	草
2:02	ifg opsss	わーわー
2:02	121mj	こんばんは
2:02	おーしお	検察官は草
2:03	wildcat5314	おんばんは
2:03	みかんみかん	やっぱり検察か
2:03	Sayo Hikawa	弁護士いんのか？ｗｗｗ
2:03	常盤南	有罪！！！
2:03	Midgardミッドガルド	うおおおおおお
2:03	茉名.まな.	こんばんはー🌸
2:04	あむねこ	草
2:04	ゆもり	ギルティ！！！！
2:04	いざよいさくや	検察官魚谷プロ
2:04	sa	こんばんは
2:05	ジュラルミン	開幕から草
2:05	するめ	検察官きっちりと
2:06	Pesciniam	ギルティ
2:06	やあけ	おねがいします
2:06	*ねう*	こんばんは
2:06	高速フーリエ変換	魚谷検察官！
2:07	愛じゃよハリー	こんばんわーー！
2:07	雨宮恵	おねがいしまーす！
2:07	帰宅RTA	魚谷プロー！
2:07	nohi ame	確かにおかぴーと白鳥さん後ろの壁紙の色一緒やｗ
2:07	年[ネン]	こんばんは🌸
2:08	ゆうたん	こんばんはー	￥500
2:08	ゆう	魚谷プロー
2:09	鰤丸	草
2:09	Kiichang	魚谷プロ！
2:10	Ta eGa	こんばんはー
2:10	rapid eye rabbit	問題のｗ
2:10	飲む牛乳	開廷だぁ！
2:10	Fumy H	問題のｗｗ
2:10	肯定してくよみざぺん	検察官(笑)
2:11	ななみさん	被告
2:11	ビロード	また髪型変わってるwww
2:11	ミキわっち	白鳥プロおめでとうございます！！
2:11	斎藤真方_マサカタ_	草
2:11	のぎす	検察官ｗｗ
2:11	こけウサ	こんばんはー
2:12	ええいああ	有罪
2:12	とろTak庵	問題のｗ
2:12	DJ ふぁっP	傍聴費用	￥1,500
2:12	南四暗緊急事態	問題の
2:12	こやこや	うおたにさんかわいい（かわいい）	￥1,000
2:12	なーく	問題のｗｗ
2:13	T M	草
2:13	芋下きぬ	問題の
2:13	MA NA	こんばんわー
2:13	トラ	白鳥被告
