3:39	koji TC	見通しの甘さでは定評のある男
3:41	なんごくとうふ	ルイスさん寝ないでね
3:41	レモン	地獄への切符代	￥500
3:41	ゆういち	頑張れ～！
3:46	とみぃ	ARK戦争で寝ちゃったしねｗ
3:46	白石束	純全は含まれないっぽいですね
3:46	レプタイル	幼女はおねむか大丈夫か
3:46	ほしりん	みんな見通しが甘いｗ
3:47	帰宅RTA	舞元の声少しでかいかも
3:47	楠栞桜 / Kusunoki Sio	気持ち声小さくしましたが、音割れ治りました＞？！
3:48	ありにゃ	チーム見通しが甘い
3:50	くろしば	おお！
3:52	チモシーほおばっ太郎	裏ドラ耐久とどっちは早い
3:53	O.A.	下３つは鳴きありかな？
3:54	ピコット	栞桜小さいと言うより舞元さんがこもっててちょい大きい感じか
3:54	琵琶丸	四暗刻か国士無双か大三元か・・・・
3:55	リュカ	２時間は難しいね
3:55	あぎだどら	おお
3:55	ひっきー	ほえー
3:58	はえよい	４人雑談ありがたい
4:01	さのせつ子	アシストありでしょ？すぐ終わりそう
4:01	ななみさん	ありがと～
4:02	ゆう	おｋです
4:02	おっ	大丈夫ですー
4:03	もののおのの	音大丈夫ですよ
4:03	帰宅RTA	いい感じ
4:04	keg-on	音割れ大丈夫！
4:04	バニラニャンフィア	音割れしてないよー
4:05	Vtuber 小野街ノンノ	konbanwa~
4:05	人	おけ
4:06	MON JA	厳しそうw
4:06	ぽいっぽ	幼女に夜更かしさせないように頑張って	￥200
4:06	みかんみかん	多少良くなりました
4:06	アレアレア	おっけーです
4:07	あのんまのんver.II	なるほど
4:07	中山六郎	単純に役満が厳しいと思う
4:08	なひいす	問題ないです！
4:08	Amelia	さっきより良くなった～
4:08	あぎだどら	大丈夫でーす
4:08	うゆき	大丈夫そうかな
4:08	こやこや	だいじょぶそうです
4:09	孤高の探索者	いい感じです
4:09	ロザエ	余裕だな！
4:09	121mj	なるほど
4:10	むあーん。	音声おｋです
4:12	陽炎	おｋ
4:12	ねこたま	なんだ余裕じゃん
4:12	Nights -O	よくなったかも
4:12	ゆういち	おｋ
4:12	じぇふぷんぷん	大丈夫！
4:12	友利匡志	頑張ってください！	￥610
4:13	みちゃき	ok
4:13	此処葉	大丈夫
4:13	23びーむ BEAM	なるほど
4:13	司令_つかされい	治りました
4:14	琵琶丸	音割れあんまり感じません
4:14	一方通行	おとわれてないよー
4:14	あおばーん	問題なし！
4:14	たいし76567	問題ないでーす
4:14	chiny _	音量OKです
4:15	鶏丸	すぐおわるな()
4:15	LG 21	しれっと雀士から雀傑にあがってるやんけ
4:15	palpal 4	対決じゃなくて共有か
4:20	Iron star	上位互換役でも良いの？チャンタ→純チャンとか
4:20	じょでぃ	大丈夫でーす！
4:20	はるめたる	舞元さんが少し大きいかも
4:20	れめれめ	なるほどね
4:20	〆作	なるほど
4:20	なーく	だいぶ良くなりました！
4:21	tanaka kanata	大丈夫です
4:21	サナ	音割れ大丈夫
4:21	ひこたろ	ゆうて三暗刻と役満くらいか
4:23	fo lon	大丈夫ですー！
4:24	月十字	OK
4:24	天城久秀	舞元さんが少し大きく感じます
4:24	rapid eye rabbit	いいかんじです
4:25	桜花ありす	OK
4:25	sa	大丈夫です
4:25	Jジェイ	音割れしてないよ！調整ありがとう
4:31	ちっそむし	OK
4:31	とろTak庵	そうなのかｗ
4:32	かえるライダー	草
